# Estimated Coulombstress in Roof region of gallery in Morsleben (from Dirk Becker) (see Dahm, 2022, fig 7)
# Coulombstress_in_Pa   day_since_filling
441125.69  11.771
443485.26  11.812
445841.56  11.854
448194.15  11.896
450542.58  11.938
452887.46  11.979
455229.75  12.021
457569.58  12.062
459907.06  12.104
462242.32  12.146
464575.47  12.188
466906.65  12.229
469235.96  12.271
471563.53  12.312
473889.47  12.354
476213.92  12.396
478536.98  12.438
480858.78  12.479
483179.43  12.521
485499.07  12.562
487817.81  12.604
490135.76  12.646
492453.05  12.688
494769.81  12.729
497086.14  12.771
499402.17  12.812
501718.02  12.854
504033.81  12.896
506349.66  12.938
508665.06  12.979
510979.43  13.021
513292.80  13.062
515605.21  13.104
517916.70  13.146
520227.30  13.188
522537.06  13.229
524846.01  13.271
527154.18  13.312
529461.61  13.354
531768.35  13.396
534074.42  13.438
536379.86  13.479
538684.71  13.521
540989.00  13.562
543292.78  13.604
545596.08  13.646
547898.94  13.688
550201.39  13.729
552503.46  13.771
554805.21  13.812
557106.66  13.854
559407.84  13.896
561708.81  13.938
564009.35  13.979
566309.26  14.021
568608.55  14.062
570907.25  14.104
573205.38  14.146
575502.97  14.188
577800.03  14.229
580096.59  14.271
582392.68  14.312
584688.31  14.354
586983.51  14.396
589278.29  14.438
591572.69  14.479
593866.72  14.521
596160.42  14.562
598453.79  14.604
600746.86  14.646
603039.66  14.688
605332.20  14.729
607624.52  14.771
609916.63  14.812
612208.55  14.854
614500.31  14.896
616791.93  14.938
619083.75  14.979
621376.03  15.021
623668.65  15.062
625961.51  15.104
628254.51  15.146
630547.53  15.188
632840.48  15.229
635133.23  15.271
637425.68  15.312
639717.74  15.354
642009.28  15.396
644300.20  15.438
646590.40  15.479
648879.76  15.521
651168.18  15.562
653455.56  15.604
655741.78  15.646
658026.74  15.688
660310.33  15.729
662592.44  15.771
664872.97  15.812
667151.80  15.854
669428.84  15.896
671703.97  15.938
673977.04  15.979
676248.07  16.021
678517.17  16.062
680784.49  16.104
683050.14  16.146
685314.27  16.187
687576.99  16.229
689838.45  16.271
692098.76  16.312
694358.06  16.354
696616.47  16.396
698874.14  16.437
701131.18  16.479
703387.72  16.521
705643.90  16.562
707899.85  16.604
710155.69  16.646
712411.55  16.687
714667.57  16.729
716923.87  16.771
719180.59  16.812
721437.84  16.854
723695.77  16.896
725954.50  16.937
728210.60  16.979
730466.18  17.021
732729.81  17.062
735007.26  17.104
737293.42  17.146
739580.56  17.187
741861.96  17.229
744140.68  17.271
746418.15  17.312
748694.53  17.354
750969.96  17.396
753244.58  17.437
755518.54  17.479
757791.99  17.521
760065.07  17.562
762337.93  17.604
764610.56  17.646
766882.94  17.687
769155.06  17.729
771426.92  17.771
773698.50  17.812
775969.81  17.854
778240.85  17.896
780511.59  17.937
782782.05  17.979
785052.22  18.021
787322.09  18.062
789591.65  18.104
791860.91  18.146
794129.86  18.187
796398.48  18.229
798666.79  18.271
800934.77  18.312
803202.41  18.354
805469.72  18.396
807736.69  18.437
810003.31  18.479
812269.58  18.521
814535.50  18.562
816801.05  18.604
819066.28  18.646
821331.18  18.687
823595.75  18.729
825860.00  18.771
828123.93  18.812
830387.54  18.854
832650.82  18.896
834913.78  18.937
837176.41  18.979
839438.71  19.021
841700.70  19.062
843962.35  19.104
846223.68  19.146
848484.68  19.187
850745.36  19.229
853005.71  19.271
855265.73  19.312
857525.42  19.354
859784.79  19.396
862043.83  19.437
864302.54  19.479
866560.92  19.521
868818.97  19.562
871076.69  19.604
873334.18  19.646
875591.45  19.687
877848.50  19.729
880105.30  19.771
882361.84  19.812
884618.09  19.854
886874.05  19.896
889129.70  19.937
891385.02  19.979
893639.99  20.021
895894.59  20.062
898148.82  20.104
900402.65  20.146
902656.06  20.187
904909.05  20.229
907161.59  20.271
909413.66  20.312
911665.25  20.354
913916.34  20.396
916166.92  20.437
918416.97  20.479
920666.46  20.521
922915.40  20.562
925163.53  20.604
927405.51  20.646
929639.84  20.687
931867.60  20.729
934089.82  20.771
936307.59  20.812
938521.96  20.854
940734.00  20.896
942944.76  20.937
945155.30  20.979
947366.69  21.021
949580.00  21.062
951796.27  21.104
954016.58  21.146
956241.98  21.187
958473.54  21.229
960712.32  21.271
962959.38  21.312
965215.77  21.354
967482.58  21.396
969760.84  21.437
972051.64  21.479
974356.02  21.521
976675.05  21.562
979011.97  21.604
981420.18  21.646
983913.69  21.687
986480.99  21.729
989110.58  21.771
991790.98  21.812
994510.69  21.854
997258.21  21.896
1000022.05  21.937
1002790.70  21.979
1005552.68  22.021
1008296.49  22.062
1011010.63  22.104
1013683.60  22.146
1016303.92  22.187
1018860.08  22.229
1021340.59  22.271
1023733.95  22.312
1026028.67  22.354
1028213.24  22.396
1030276.19  22.437
1032206.00  22.479
1033991.19  22.521
1035620.25  22.562
1037152.37  22.604
1038748.04  22.646
1040128.89  22.687
1040973.39  22.729
1040237.71  22.771
1037790.06  22.812
1038438.15  22.854
1090003.78  22.896
1062647.24  22.937
1046978.66  22.979
1051232.08  23.021
1057881.51  23.062
1063490.76  23.104
1066144.58  23.146
1068082.13  23.187
1069627.88  23.229
1070958.32  23.271
1072249.95  23.312
1073679.26  23.354
1075422.74  23.396
1077621.65  23.437
1080094.12  23.479
1082777.77  23.521
1085667.24  23.562
1088757.17  23.604
1092042.19  23.646
1095516.97  23.687
1099176.12  23.729
1103014.31  23.771
1107026.17  23.812
1111206.34  23.854
1115549.47  23.896
1120050.20  23.937
1124703.17  23.979
1129503.02  24.021
1134444.40  24.062
1139521.95  24.104
1144730.31  24.146
1150064.12  24.187
1155518.03  24.229
1161086.68  24.271
1166764.71  24.312
1172546.76  24.354
1178427.48  24.396
1184401.51  24.437
1190463.48  24.479
1196608.05  24.521
1202829.86  24.562
1209123.55  24.604
1215483.75  24.646
1221905.12  24.687
1228382.29  24.729
1234909.92  24.771
1241482.63  24.812
1248095.08  24.854
1254741.90  24.896
1261417.74  24.937
1268117.24  24.979
1274835.04  25.021
1281565.79  25.062
1288304.13  25.104
1295044.69  25.146
1301782.13  25.187
1308640.63  25.229
1316344.38  25.271
1324915.07  25.312
1334243.39  25.354
1344220.06  25.396
1354735.77  25.437
1365681.22  25.479
1376947.13  25.521
1388424.18  25.562
1400003.09  25.604
1411574.56  25.646
1423029.28  25.687
1434257.96  25.729
1445151.31  25.771
1455600.03  25.812
1465494.81  25.854
1474726.37  25.896
1483185.40  25.937
1490762.61  25.979
1497348.70  26.021
1502834.37  26.062
1507110.32  26.104
1510067.26  26.146
1511595.89  26.187
1511499.23  26.229
1509279.33  26.271
1505076.46  26.312
1499131.06  26.354
1491683.57  26.396
1482974.43  26.437
1473244.09  26.479
1462732.99  26.521
1451681.56  26.562
1440330.25  26.604
1428919.49  26.646
1417689.73  26.687
1406881.42  26.729
1396734.98  26.771
1387490.87  26.812
1379389.51  26.854
1372671.36  26.896
1367576.85  26.937
1364346.43  26.979
1363220.53  27.021
1363319.17  27.062
1363588.74  27.104
1363991.43  27.146
1364489.43  27.187
1365044.92  27.229
1365620.11  27.271
1366177.18  27.312
1366678.33  27.354
1367085.74  27.396
1367361.61  27.437
1367468.13  27.479
1365158.19  27.521
1358673.96  27.562
1349392.50  27.604
1338696.11  27.646
1327967.09  27.687
1318587.72  27.729
1311940.31  27.771
1309407.14  27.812
1309992.10  27.854
1311591.47  27.896
1313961.42  27.937
1316858.12  27.979
1320037.74  28.021
1324313.33  28.062
1331604.74  28.104
